S	Chr	Start
1810993	chr9	139390692
1811015	chr9	139390692
1811015	chr11	108114687
1910011	chr9	87635223
1910011	chr9	98221969
1910018	chr10	89720663
1910044	chr7	55273036
1910076	chr9	139390692
1910076	chr11	108141989
1910103	chr9	139390692
1910103	chr9	98278949
1910110	chr9	139413894
1910110	chr4	55130043
1910127	chr1	156838384
1910145	chrX	66765161
1910145	chr17	29687623
1910165	chrX	47424640
1910203	chr9	87285864
1910208	chr17	7579470
1910208	chr17	7579469
1910208	chr1	156838384
1910208	chr2	212578349
1910209	chr9	139390696
1910209	chr17	29553478
